Twist1	Twist2	Twist3	Twist4	Twist5	Chord1	Chord2	Chord3	Chord4	Chord5	Thick1	Thick2	Thick3	
30.9179	1.6974	0.2699	-1.2691	-8.1906	0.9717	0.8802	0.5755	0.3503	0.2072	0.3000	0.7189	0.8370
-7.6237	-8.1977	-9.9854	-9.9948	-9.9991	1.3798	0.3587	0.1871	0.1622	0.1313	0.3000	0.4322	0.5812
21.6874	10.2958	8.0417	6.7283	-7.6792	1.0664	0.6378	0.1546	0.1243	0.1107	0.3000	0.9193	0.9542
20.8231	-9.4331	-9.5487	-9.7829	-9.9556	0.8402	0.2426	0.1701	0.1028	0.1004	0.3000	0.5066	0.8139
25.4602	4.1718	-5.9952	-8.0475	-9.1957	0.8716	0.6128	0.4680	0.3863	0.1842	0.3000	0.4466	0.8821
33.7508	26.3002	15.0460	2.8176	-9.7012	1.1171	0.5082	0.4901	0.1390	0.1046	0.3000	0.8842	0.9907
26.9407	5.9543	0.7821	-2.2202	-9.7118	1.4125	1.2911	0.9374	0.4529	0.1581	0.3000	0.5243	0.5557
31.9239	1.4924	-1.5658	-4.0260	-7.3708	1.2235	0.7928	0.1899	0.1533	0.1404	0.3000	0.8041	0.8838
11.9538	0.5669	-2.7392	-7.3737	-7.9925	0.8839	0.8385	0.3256	0.1426	0.1188	0.3000	0.7120	0.9717
34.9736	28.8341	-7.2417	-8.7201	-9.6450	1.1198	0.1733	0.1401	0.1280	0.1210	0.3000	0.4007	0.6984
15.8470	8.5707	-8.4347	-9.2597	-9.8022	0.8419	0.7612	0.6653	0.1981	0.1522	0.3000	0.5214	0.5528
33.3649	1.4027	-3.6991	-7.2862	-9.5301	0.9730	0.1734	0.1498	0.1100	0.1014	0.3000	0.4874	0.9188
35.4150	21.5942	-3.3682	-9.1519	-9.2221	0.8223	0.8100	0.5671	0.2640	0.1014	0.3000	0.5066	0.8255
33.1079	-4.6419	-6.6385	-8.6599	-8.7691	1.1004	0.9202	0.4896	0.3880	0.2275	0.3000	0.4224	0.6184
9.3396	5.9542	0.8962	-7.5246	-8.9397	1.0097	0.6319	0.1115	0.1106	0.1042	0.3000	0.6155	0.7682
-6.0609	-8.9807	-9.6130	-9.6551	-9.8084	0.9673	0.5327	0.3507	0.2501	0.2085	0.3000	0.7628	0.8201
8.5858	-7.5104	-9.8879	-9.8887	-9.9216	1.2773	0.6949	0.5402	0.4673	0.1794	0.3000	0.4642	0.8917
36.3914	10.4154	-6.1715	-6.7779	-8.9325	0.8585	0.8570	0.3278	0.2413	0.1555	0.3000	0.5464	0.7614
39.7230	19.0000	6.5603	5.3909	-9.7042	0.9459	0.5508	0.3076	0.2396	0.1177	0.3000	0.6961	0.9509
19.2506	18.1652	-0.9375	-9.9184	-9.9723	0.7574	0.1898	0.1603	0.1324	0.1076	0.3000	0.4826	0.9092
36.9430	34.8030	19.0297	-3.9509	-9.5695	1.3430	0.1800	0.1063	0.1061	0.1049	0.3000	0.5286	0.6031
-5.7715	-6.6509	-8.6304	-8.6497	-9.8185	0.9711	0.7973	0.2458	0.1757	0.1482	0.3000	0.4847	0.7008
4.4101	3.0654	1.3956	-0.6444	-8.8637	1.2539	0.3614	0.1631	0.1470	0.1009	0.3000	0.8086	0.8628
13.5621	-2.5010	-7.9270	-8.0966	-9.5535	0.9293	0.5731	0.4798	0.2815	0.1732	0.3000	0.5335	0.7551
11.3080	2.2857	-4.6346	-7.9373	-8.6038	0.8182	0.4318	0.4317	0.2609	0.1953	0.3000	0.5868	0.9239
20.6833	12.0262	-6.3374	-9.3793	-9.5755	1.0781	0.9987	0.5534	0.3279	0.1690	0.3000	0.4997	0.8329
-6.1536	-7.0532	-9.4414	-9.8606	-9.9680	1.3511	0.8496	0.3246	0.2802	0.1209	0.3000	0.5425	0.5793
21.3997	11.2239	5.1130	-9.5348	-9.9654	1.3817	0.1302	0.1127	0.1059	0.1039	0.3000	0.5479	0.8320
16.6940	-4.5789	-9.5482	-9.6457	-9.8089	1.0205	0.8728	0.8096	0.4829	0.2124	0.3000	0.5786	0.9365
35.0336	-4.7600	-8.6089	-9.1941	-9.4111	0.8963	0.4818	0.1761	0.1086	0.1011	0.3000	0.4121	0.5024
24.5505	20.4027	-5.0519	-5.8732	-7.3887	1.0881	0.1389	0.1251	0.1218	0.1202	0.3000	0.4568	0.6007
22.4775	17.5138	13.1865	0.3245	-0.8495	1.1073	0.2165	0.1569	0.1512	0.1404	0.3000	0.4315	0.5472
0.4840	-5.3616	-9.2988	-9.7846	-9.8944	1.3173	0.5392	0.1041	0.1038	0.1019	0.3000	0.5384	0.5772
4.8904	-8.9582	-8.9644	-9.0254	-9.7855	1.4441	0.9338	0.9263	0.6678	0.2449	0.3000	0.4321	0.6329
32.3983	1.0876	-9.2460	-9.8948	-9.8977	1.2657	0.9952	0.4183	0.3954	0.2251	0.3000	0.5363	0.6778
26.6249	25.2265	15.6122	4.1378	-3.8112	1.0787	0.6449	0.4629	0.1111	0.1075	0.3000	0.4398	0.5239
27.1189	14.6321	1.6024	-4.0653	-7.2684	1.2691	1.0375	0.5637	0.2495	0.2004	0.3000	0.6251	0.7102
33.6398	9.6126	-8.0014	-8.1478	-8.7356	0.7809	0.6388	0.6093	0.4688	0.1518	0.3000	0.5939	0.7365
-8.7789	-9.0091	-9.3197	-9.4024	-9.8314	1.4936	0.2585	0.1033	0.1009	0.1002	0.3000	0.7687	0.8730
33.3322	32.2409	-5.5793	-6.9395	-6.9839	1.0240	0.4564	0.3670	0.3595	0.1969	0.3000	0.5095	0.7025
19.3552	3.2868	2.2506	-9.3911	-9.7052	0.9021	0.2329	0.1035	0.1017	0.1017	0.3000	0.5941	0.8795
6.8330	6.5996	-9.9409	-9.9483	-9.9504	0.9255	0.8950	0.4446	0.1866	0.1721	0.3000	0.6009	0.6607
33.5173	16.2114	5.8802	2.7593	-0.9037	1.1785	0.7911	0.4176	0.3164	0.1088	0.3000	0.4341	0.9236
39.0845	17.8027	10.2302	-5.5127	-5.8675	1.2431	0.7712	0.5056	0.3102	0.1220	0.3000	0.8556	0.9639
37.0240	-3.7211	-4.3771	-7.9954	-9.0717	1.1827	0.6213	0.2202	0.1611	0.1509	0.3000	0.5157	0.8473
13.7794	2.7883	-9.9058	-9.9682	-9.9881	0.9822	0.8364	0.1921	0.1471	0.1238	0.3000	0.4825	0.5548
17.1211	-4.7229	-9.5360	-9.5502	-9.7489	1.4463	1.4159	0.8084	0.2326	0.2012	0.3000	0.4790	0.7153
25.9376	14.1644	-9.1058	-9.2875	-9.6890	1.0161	0.7064	0.4580	0.4301	0.1663	0.3000	0.4048	0.5295
21.2898	13.1856	-2.3605	-7.1218	-8.5817	1.2990	0.5864	0.3503	0.2563	0.1227	0.3000	0.5524	0.9008
-7.0535	-8.6485	-8.7370	-9.3338	-9.4334	1.1176	0.6061	0.5395	0.3784	0.2421	0.3000	0.5464	0.7119
33.7035	-6.1547	-7.7322	-8.0926	-9.7926	0.8532	0.8343	0.5954	0.1836	0.1391	0.3000	0.4122	0.6813
30.1379	-8.5096	-8.6541	-9.9743	-9.9888	1.0125	0.1911	0.1210	0.1144	0.1081	0.3000	0.5460	0.5616
39.8885	34.9821	-6.2499	-9.8796	-9.9037	1.4990	0.6381	0.6245	0.1600	0.1100	0.3000	0.5942	0.8748
29.0289	-1.0050	-9.5488	-9.8320	-9.9004	1.0906	0.1918	0.1014	0.1014	0.1006	0.3000	0.5340	0.6798
10.8187	7.0764	-1.8510	-1.9651	-7.0396	1.4071	0.5995	0.2502	0.1662	0.1318	0.3000	0.5072	0.5228
1.7475	-2.8188	-6.9647	-8.5687	-9.3429	1.2267	0.1774	0.1009	0.1002	0.1001	0.3000	0.6648	0.7929
1.3434	-7.7155	-7.7868	-8.9675	-9.9308	1.0749	0.4035	0.3926	0.2527	0.1454	0.3000	0.5321	0.7614
-9.2668	-9.6425	-9.8950	-9.9759	-9.9781	1.0516	0.4618	0.3215	0.1222	0.1106	0.3000	0.7842	0.7938
-4.7307	-5.8652	-7.8700	-9.3656	-9.6181	1.0994	0.8565	0.2832	0.2325	0.1982	0.3000	0.4745	0.5773
22.4457	18.6333	10.8544	2.8350	0.5650	1.2666	0.1677	0.1096	0.1013	0.1001	0.3000	0.5177	0.6797
4.8799	-9.1836	-9.9995	-9.9999	-9.9999	1.0261	0.2396	0.2215	0.1944	0.1033	0.3000	0.4024	0.5024
16.4105	12.3977	-9.2746	-9.6668	-9.9040	0.9465	0.6231	0.3238	0.1536	0.1469	0.3000	0.5055	0.6775
-5.0647	-5.6698	-9.2162	-9.8889	-9.9813	1.1674	0.5441	0.2952	0.1213	0.1014	0.3000	0.4939	0.5312
34.8049	20.4198	17.7109	6.5260	-2.0407	1.1876	0.9810	0.8988	0.5350	0.1032	0.3000	0.5360	0.5553
-1.8623	-5.3652	-6.6323	-8.3191	-9.6153	1.2529	0.6729	0.1867	0.1747	0.1161	0.3000	0.5199	0.7363
19.2223	-3.3510	-6.6195	-7.8385	-9.6091	1.0652	0.2114	0.1349	0.1133	0.1095	0.3000	0.8271	0.9762
17.4214	12.3110	2.8544	1.3565	-6.3190	1.4851	0.7375	0.1862	0.1819	0.1363	0.3000	0.5888	0.9379
19.0492	0.1142	-1.0561	-2.6047	-6.2983	1.4557	0.7639	0.6880	0.6549	0.1803	0.3000	0.5499	0.5533
19.0279	4.9172	-7.2681	-7.3394	-7.4744	1.4907	1.2784	0.5491	0.3911	0.1918	0.3000	0.7783	0.9370
38.4714	31.0038	-3.5584	-8.0180	-9.8515	0.8875	0.7018	0.2259	0.1206	0.1159	0.3000	0.6171	0.7594
29.7893	19.9123	-2.9738	-3.0735	-3.0977	1.1280	0.9649	0.2935	0.2847	0.1079	0.3000	0.6995	0.8783
39.1833	9.7028	-3.5409	-5.8675	-6.8970	1.4280	0.4527	0.2500	0.1769	0.1757	0.3000	0.9066	0.9284
7.4392	1.3211	-7.9301	-8.8570	-9.5542	1.3808	1.3199	0.2774	0.1099	0.1037	0.3000	0.4881	0.9443
7.0043	-4.7843	-9.9093	-9.9233	-9.9803	0.9806	0.1037	0.1027	0.1007	0.1002	0.3000	0.9343	0.9663
24.6345	10.5941	1.3960	-3.4401	-5.5021	1.0680	0.6501	0.5425	0.4930	0.1981	0.3000	0.4655	0.7027
38.8521	-8.2248	-9.6484	-9.8747	-9.9618	0.8276	0.2860	0.1212	0.1117	0.1097	0.3000	0.5658	0.9210
34.1158	4.0357	-5.1761	-5.6393	-9.0760	0.9251	0.9144	0.8230	0.6653	0.2487	0.3000	0.4458	0.7480
8.9039	3.4291	-6.4837	-9.9050	-9.9628	0.9335	0.9136	0.2411	0.2093	0.1076	0.3000	0.6898	0.7023
13.5749	-4.6194	-9.0034	-9.5973	-9.9677	1.1346	0.4105	0.1317	0.1045	0.1018	0.3000	0.6317	0.9077
34.9502	-2.6514	-8.4588	-9.9956	-9.9993	1.2368	1.0056	0.9992	0.7186	0.1942	0.3000	0.9036	0.9192
32.2535	20.7233	2.7211	-6.0692	-6.1064	0.8969	0.5575	0.5029	0.3876	0.2347	0.3000	0.8601	0.9564
-6.1533	-9.2219	-9.5777	-9.8562	-9.9331	0.7991	0.1627	0.1093	0.1012	0.1007	0.3000	0.6057	0.9743
34.8124	5.1797	-8.7749	-9.1233	-9.3901	0.8627	0.8298	0.8134	0.7929	0.1511	0.3000	0.5130	0.5148
11.0403	8.9507	2.5692	-5.8939	-6.1917	1.3858	1.2446	0.7319	0.6856	0.2474	0.3000	0.6633	0.8353
35.6832	8.4134	7.6421	-0.0710	-2.7197	0.9443	0.4611	0.1403	0.1051	0.1048	0.3000	0.4155	0.5387
7.8319	6.7767	-0.5447	-2.1686	-6.9668	1.3017	0.7964	0.6677	0.5022	0.1554	0.3000	0.4486	0.6519
27.0209	10.6593	9.4882	6.8111	5.3732	1.2539	0.7754	0.7038	0.3172	0.2178	0.3000	0.4058	0.9961
18.2951	-0.3685	-8.0703	-8.9463	-9.6543	1.3352	1.2695	0.3051	0.2723	0.1155	0.3000	0.7818	0.8971
33.9961	33.2084	26.0212	21.6380	5.0304	1.0911	0.7043	0.5204	0.1860	0.1067	0.3000	0.8560	0.9101
5.0329	1.6930	-5.9181	-7.9598	-8.9422	0.8064	0.1098	0.1009	0.1004	0.1002	0.3000	0.6866	0.8545
2.3603	-1.5640	-9.1068	-9.9111	-9.9318	0.9834	0.4922	0.2189	0.1060	0.1028	0.3000	0.8409	0.8732
35.7404	26.3190	-8.7726	-8.9499	-9.0119	0.8196	0.3761	0.2787	0.2361	0.2195	0.3000	0.4693	0.7045
27.5761	12.9915	10.8796	5.6459	-3.8726	1.4648	0.7653	0.4709	0.2346	0.1528	0.3000	0.5143	0.8560
15.5567	-7.4258	-8.0306	-8.9481	-9.3213	0.7932	0.7914	0.5968	0.5239	0.2328	0.3000	0.6248	0.8376
20.2021	7.3555	-5.5120	-6.8150	-9.9445	1.0842	0.5596	0.3328	0.2767	0.1804	0.3000	0.4931	0.6165
33.5168	-2.2740	-6.9432	-9.5660	-9.9660	1.2085	0.8517	0.7522	0.5140	0.2404	0.3000	0.6965	0.9885
0.1087	-0.5070	-7.1420	-7.2709	-9.1047	1.1856	1.1107	0.8901	0.2339	0.2161	0.3000	0.8740	0.9073
-4.7367	-7.2669	-8.1295	-8.7441	-9.8787	0.7612	0.3297	0.1255	0.1248	0.1005	0.3000	0.6782	0.8036
32.0771	21.7111	12.3324	8.3169	6.9812	1.3556	1.1173	0.4640	0.3835	0.1151	0.3000	0.4338	0.7331
29.4940	14.6449	5.9268	-2.4471	-3.1445	0.8931	0.7493	0.3158	0.2968	0.2229	0.3000	0.6545	0.7604
-0.2403	-1.1739	-6.6882	-6.7189	-7.7148	1.3617	1.3115	0.6456	0.2966	0.1375	0.3000	0.8238	0.9251
9.9244	-2.6591	-6.3114	-9.8668	-9.8955	1.1649	0.8689	0.6758	0.5059	0.2028	0.3000	0.5019	0.5316
32.7581	30.7119	7.7340	-5.6758	-8.1136	1.0259	0.5855	0.4712	0.2113	0.1439	0.3000	0.8232	0.9124
-2.8002	-3.1940	-7.6510	-8.6429	-8.8876	0.9773	0.4665	0.4483	0.1355	0.1283	0.3000	0.4749	0.5487
-9.7792	-9.8017	-9.9864	-9.9995	-9.9995	1.4731	1.0803	0.9996	0.4901	0.1403	0.3000	0.4039	0.6984
-1.7683	-8.2790	-8.5233	-8.7479	-9.8961	1.2816	1.0327	0.4884	0.3565	0.1896	0.3000	0.4429	0.9222
6.2378	4.0135	-2.1053	-6.2533	-8.9180	1.0344	0.5897	0.5067	0.2547	0.1273	0.3000	0.6247	0.8898
33.6039	3.5437	-6.1952	-6.8002	-8.9518	1.4073	0.8003	0.1864	0.1573	0.1200	0.3000	0.6543	0.7031
34.2658	-6.8693	-9.9733	-9.9793	-9.9901	1.4974	0.5777	0.3035	0.2776	0.1569	0.3000	0.5460	0.7374
1.7788	-7.5491	-9.8835	-9.9367	-9.9500	1.0964	0.7903	0.6803	0.1337	0.1291	0.3000	0.6288	0.8752
8.9078	0.6398	-0.2508	-2.3866	-7.5559	0.9016	0.5293	0.4958	0.1372	0.1012	0.3000	0.8737	0.9050
36.9929	14.0459	-7.9026	-7.9865	-8.9784	0.8543	0.2779	0.2602	0.1742	0.1373	0.3000	0.5140	0.9607
1.6801	-9.0109	-9.6979	-9.7440	-9.7575	0.8827	0.6004	0.4700	0.4284	0.1847	0.3000	0.7300	0.8232
27.9214	10.0929	-2.8591	-6.1326	-7.1140	1.3772	0.2474	0.2097	0.1593	0.1306	0.3000	0.5461	0.5717
-7.0644	-8.3295	-8.4289	-8.6786	-9.9317	0.8928	0.2888	0.2360	0.2192	0.1900	0.3000	0.4632	0.5187
10.7724	-4.3998	-6.9362	-9.1363	-9.3385	1.2063	0.1149	0.1001	0.1001	0.1000	0.3000	0.8707	0.9612
33.6381	6.1893	3.5934	-0.8809	-6.6627	1.4381	0.5219	0.1844	0.1197	0.1025	0.3000	0.7958	0.8398
-2.6395	-6.8165	-9.5737	-9.7551	-9.7654	1.4831	0.2103	0.1997	0.1928	0.1166	0.3000	0.7219	0.7607
26.3740	-0.3211	-9.2866	-9.5198	-9.8861	1.0000	0.4827	0.2497	0.1764	0.1360	0.3000	0.6928	0.9447
31.5611	-7.2447	-8.9633	-9.7165	-9.8257	1.2628	0.8835	0.7211	0.1883	0.1300	0.3000	0.6024	0.8292
33.6075	22.4937	1.5061	-3.1948	-3.2298	1.3112	1.1801	0.8406	0.5066	0.1551	0.3000	0.4469	0.5372
7.4674	2.1441	-5.6580	-9.2615	-9.5793	1.1793	0.1611	0.1188	0.1052	0.1033	0.3000	0.5019	0.7197
35.3845	15.8426	-6.0321	-7.2871	-7.4129	1.2401	0.8042	0.1412	0.1406	0.1393	0.3000	0.5037	0.7673
25.9859	0.1377	-8.2070	-9.2642	-9.6255	1.0303	0.3811	0.3596	0.3431	0.1245	0.3000	0.6204	0.9745
39.1435	-6.4879	-9.0935	-9.3033	-9.6973	1.3730	0.9408	0.6737	0.6330	0.1502	0.3000	0.7527	0.9144
18.2787	18.0089	0.1599	-2.7619	-9.5000	1.3691	0.6893	0.6146	0.3661	0.1347	0.3000	0.4561	0.6512
35.3439	18.2668	5.4379	4.5434	-9.8569	1.3841	0.5925	0.2068	0.1683	0.1573	0.3000	0.9025	0.9946
21.7824	19.8088	5.4168	-0.7850	-4.0211	1.0865	0.5571	0.2121	0.1348	0.1046	0.3000	0.4493	0.5911
18.0522	-8.5956	-8.7405	-9.3059	-9.8009	0.8906	0.1000	0.1000	0.1000	0.1000	0.3000	0.4959	0.5812
29.2332	19.6252	5.1737	2.2579	-5.7350	1.4500	1.0895	0.6411	0.5759	0.2076	0.3000	0.5784	0.6375
5.4208	-9.8994	-9.9801	-9.9936	-9.9948	1.2947	0.1380	0.1273	0.1263	0.1064	0.3000	0.4095	0.5652
12.9606	-8.6414	-9.5310	-9.7865	-9.9472	0.9461	0.2051	0.1320	0.1032	0.1009	0.3000	0.4703	0.5052
18.9346	-3.1158	-4.0212	-7.4507	-9.5629	0.8488	0.7190	0.6845	0.1634	0.1417	0.3000	0.7695	0.8155
13.6043	1.5371	0.5599	-5.9773	-8.5716	1.3977	0.2936	0.1513	0.1192	0.1067	0.3000	0.4592	0.5434
39.4276	19.7410	4.8041	-8.7081	-9.9665	1.3431	1.0887	0.2696	0.2639	0.1225	0.3000	0.5827	0.8357
23.8525	8.0675	4.0329	0.4227	-0.6016	0.9159	0.2350	0.2293	0.1019	0.1001	0.3000	0.5159	0.6841
-9.4345	-9.7735	-9.8667	-9.9437	-9.9502	0.7818	0.4040	0.3910	0.1022	0.1008	0.3000	0.7476	0.7560
31.8655	31.3211	-0.5560	-2.3687	-2.9972	0.9001	0.2043	0.1687	0.1166	0.1014	0.3000	0.6506	0.9120
39.7455	29.8842	16.9158	-4.6169	-9.2341	1.1444	0.8330	0.5444	0.2295	0.1867	0.3000	0.5936	0.9752
13.2280	-4.2341	-4.7989	-5.3409	-5.8883	1.2261	1.1274	0.6104	0.3936	0.1763	0.3000	0.6366	0.9998
30.0707	28.3019	25.9011	10.6676	-0.9282	1.2804	0.9168	0.1385	0.1339	0.1220	0.3000	0.4875	0.6410
30.7868	17.7780	7.9218	6.6498	2.1723	1.4171	1.3998	0.3107	0.1689	0.1389	0.3000	0.6097	0.6509
-6.0898	-8.6225	-9.0752	-9.9545	-9.9877	1.4303	0.6906	0.5077	0.2376	0.2176	0.3000	0.7068	0.7524
22.4496	7.5897	-4.8479	-9.9669	-9.9936	1.1666	0.7157	0.4990	0.2763	0.1578	0.3000	0.5434	0.5521
38.7343	27.9452	15.3742	-7.8266	-9.2808	1.2904	0.4014	0.2944	0.2751	0.2444	0.3000	0.7230	0.8574
3.3849	-5.4315	-6.8263	-9.4507	-9.4797	0.9024	0.5766	0.3915	0.1154	0.1007	0.3000	0.6011	0.6455
3.4040	-8.7368	-9.1580	-9.4191	-9.6512	1.4332	0.6109	0.4474	0.3743	0.1845	0.3000	0.5418	0.5693
14.9447	-6.5661	-6.7266	-8.6399	-8.7847	1.0773	0.7626	0.6534	0.3599	0.2464	0.3000	0.7696	0.8689
9.5480	3.3925	-9.2168	-9.2699	-9.5668	1.0568	0.1382	0.1351	0.1141	0.1038	0.3000	0.4607	0.5722
10.2377	-5.0579	-6.1542	-8.0366	-9.7657	1.4987	0.8434	0.1542	0.1353	0.1322	0.3000	0.5377	0.6169
29.5802	29.4049	-8.7838	-9.3883	-9.5197	1.3435	1.0074	0.2647	0.1893	0.1741	0.3000	0.4531	0.5418
4.5571	1.9867	-6.4610	-9.4200	-9.8941	1.4818	1.4170	0.8921	0.5154	0.1878	0.3000	0.4519	0.6230
16.5189	-4.1967	-7.5938	-9.3597	-9.8455	1.2863	1.1206	0.9777	0.6220	0.1341	0.3000	0.5393	0.5584
7.4899	0.6023	-6.1708	-8.5360	-9.1466	1.2603	0.8085	0.3620	0.2669	0.2028	0.3000	0.4000	0.5572
37.2470	2.7498	-8.2091	-8.6720	-9.9046	1.3664	0.6174	0.3839	0.3417	0.2384	0.3000	0.4931	0.6466
10.7405	-2.8012	-6.7056	-9.4077	-9.5743	0.9260	0.7075	0.6378	0.4497	0.1846	0.3000	0.5474	0.7751
10.4371	-5.3181	-6.1338	-9.1810	-9.6735	1.3577	1.2309	0.8927	0.3791	0.2366	0.3000	0.7216	0.8727
27.5087	-1.8265	-2.4897	-8.7043	-8.9331	1.4240	1.3390	0.8626	0.3675	0.1475	0.3000	0.7471	0.8315
10.8772	0.5876	-2.7958	-3.3830	-6.7499	1.3638	0.2933	0.1726	0.1443	0.1297	0.3000	0.6100	0.9229
38.4502	-6.8292	-7.7381	-7.8284	-8.3310	0.9244	0.1921	0.1265	0.1218	0.1183	0.3000	0.5021	0.5957
-5.4757	-6.0879	-8.9169	-9.3155	-9.3686	0.8413	0.7358	0.2282	0.1074	0.1001	0.3000	0.5613	0.9371
-5.8953	-8.2369	-9.0296	-9.3785	-9.4853	0.9445	0.3915	0.1183	0.1171	0.1158	0.3000	0.8307	0.8461
-3.0609	-6.9946	-9.9563	-9.9714	-9.9748	1.4796	0.4685	0.3064	0.1554	0.1351	0.3000	0.6740	0.7035
20.4528	18.8827	9.3778	-7.7730	-8.9837	1.4324	1.2428	0.4773	0.4633	0.2421	0.3000	0.7556	0.9679
-6.5365	-9.5708	-9.9292	-9.9866	-9.9930	0.8020	0.4873	0.2019	0.1601	0.1475	0.3000	0.7180	0.9240
11.4275	9.6845	5.8298	-4.5595	-7.5202	1.2350	1.1800	0.5741	0.4630	0.1256	0.3000	0.8435	0.9976
3.5027	-8.1908	-9.4962	-9.6150	-9.6999	1.4815	0.5421	0.5152	0.4391	0.1514	0.3000	0.7099	0.7986
17.5921	-4.5185	-7.5078	-8.7499	-9.4876	1.0962	0.8110	0.4628	0.1330	0.1215	0.3000	0.7104	0.8210
-9.7460	-9.7692	-9.7700	-9.8115	-9.8136	1.2643	0.9058	0.7677	0.5249	0.1536	0.3000	0.4704	0.7018
