Twist1	Twist2	Twist3	Twist4	Twist5	Chord1	Chord2	Chord3	Chord4	Chord5	
-1.9673	-6.2439	-8.9677	-9.5235	-9.6541	0.3178	0.2428	0.1772	0.1080	0.1007
0.3149	-1.0545	-2.5804	-6.4770	-7.5843	0.3074	0.2599	0.1726	0.1471	0.1173
-8.4777	-9.1286	-9.6482	-9.8494	-9.9852	0.2783	0.2750	0.1381	0.1296	0.1004
-3.8010	-8.7016	-9.7080	-9.8536	-9.9885	0.3779	0.3723	0.2584	0.2321	0.1677
9.7528	-6.3441	-7.0976	-8.9052	-9.9624	0.3212	0.2082	0.1487	0.1245	0.1129
2.5452	-1.6314	-4.1371	-8.5053	-9.5339	0.3774	0.2124	0.1636	0.1470	0.1056
3.9142	-6.4642	-8.1509	-8.3944	-8.8783	0.3513	0.3463	0.1239	0.1119	0.1107
26.2222	20.6952	-8.0981	-8.2945	-9.6827	0.2709	0.2071	0.2015	0.1285	0.1009
35.9929	-8.3520	-9.0839	-9.7884	-9.9987	0.2796	0.2140	0.1943	0.1574	0.1155
22.9532	21.8233	-5.7399	-6.3228	-8.5249	0.3175	0.2579	0.1100	0.1054	0.1025
-6.6846	-8.9445	-9.4346	-9.8320	-9.8524	0.2845	0.2513	0.2113	0.2003	0.1546
29.2062	23.6345	-0.0600	-1.8692	-9.7597	0.3559	0.2438	0.2317	0.1571	0.1051
-1.3113	-9.7790	-9.9952	-9.9989	-9.9992	0.3858	0.2737	0.1081	0.1055	0.1043
-7.3241	-8.9405	-9.9217	-9.9476	-9.9586	0.2599	0.2388	0.1616	0.1152	0.1025
39.9035	21.3843	8.3340	1.7077	-5.6296	0.3415	0.2684	0.2393	0.1718	0.1313
22.1065	-2.5995	-5.2989	-8.1292	-9.3781	0.3296	0.2181	0.1156	0.1104	0.1017
2.2658	-6.2422	-7.0256	-8.5783	-9.1620	0.3046	0.2050	0.1640	0.1226	0.1122
14.3939	13.7851	0.1941	-8.6194	-8.7759	0.2628	0.2590	0.1042	0.1003	0.1002
32.6747	9.0163	4.3422	-2.7282	-9.0138	0.3490	0.2837	0.2003	0.1975	0.1273
1.0705	-1.8040	-2.5133	-5.3803	-7.2697	0.2610	0.2169	0.2031	0.1733	0.1084
34.7741	10.7576	5.4016	0.9225	-2.4914	0.3008	0.2914	0.1661	0.1230	0.1008
24.2306	-1.3526	-8.8418	-8.8908	-9.8285	0.2532	0.2160	0.1656	0.1653	0.1354
-2.8531	-6.4328	-6.6641	-7.0393	-8.8170	0.2967	0.2021	0.1629	0.1036	0.1034
1.9285	-9.5935	-9.6052	-9.8130	-9.9015	0.3292	0.2539	0.1150	0.1119	0.1107
34.8631	28.1074	4.0576	-1.0129	-2.1763	0.3296	0.2463	0.2374	0.1858	0.1840
-2.1084	-5.8288	-7.6416	-9.1727	-9.3341	0.3989	0.2734	0.2451	0.1403	0.1131
27.3346	1.8526	-4.8554	-8.8550	-8.9828	0.2666	0.2505	0.1825	0.1721	0.1161
30.7095	-3.9481	-5.1713	-8.0385	-8.5902	0.3078	0.2845	0.2713	0.2529	0.1838
-1.4210	-2.1126	-2.9939	-6.0915	-8.8959	0.2633	0.2351	0.1303	0.1197	0.1037
12.8545	-6.7462	-9.3231	-9.4494	-9.6466	0.3553	0.2017	0.1516	0.1108	0.1013
33.5700	28.3024	-9.2281	-9.2744	-9.9199	0.3008	0.2056	0.1993	0.1516	0.1377
