Twist1	Twist2	Twist3	Twist4	Twist5	Chord1	Chord2	Chord3	Chord4	Chord5	
19.7448	7.9314	-6.0238	-8.8203	-9.4996	0.2893	0.2635	0.1192	0.1061	0.1031
-5.7242	-6.5750	-6.8187	-8.4456	-9.6312	0.2894	0.2026	0.1749	0.1434	0.1199
38.1544	15.0950	2.2689	-1.6678	-6.9384	0.3320	0.2306	0.1815	0.1322	0.1318
-8.1131	-8.2767	-9.8299	-9.9430	-9.9922	0.3828	0.3455	0.1643	0.1437	0.1315
-4.6619	-7.3621	-8.1138	-8.3195	-8.8258	0.3481	0.3153	0.2946	0.1650	0.1129
-8.4730	-9.2364	-9.3092	-9.5733	-9.6563	0.3616	0.2776	0.2083	0.1931	0.1537
-0.8539	-1.8919	-6.0278	-6.1125	-8.0544	0.2860	0.2025	0.1172	0.1123	0.1058
-7.0191	-9.8735	-9.9340	-9.9460	-9.9610	0.3523	0.2109	0.1107	0.1088	0.1013
22.9803	22.0890	15.6818	1.1046	-9.0731	0.3278	0.2829	0.1830	0.1685	0.1091
-1.3306	-2.7924	-9.5641	-9.7704	-9.8492	0.3086	0.2873	0.1748	0.1312	0.1196
4.5992	-9.7739	-9.9622	-9.9859	-9.9931	0.3147	0.3129	0.1226	0.1045	0.1015
37.5815	-7.4935	-9.3255	-9.6304	-9.8456	0.3880	0.3388	0.2010	0.1952	0.1936
-8.3700	-8.5625	-9.7263	-9.8739	-9.9803	0.3342	0.2898	0.1700	0.1687	0.1588
22.2382	-3.8450	-7.0331	-8.2510	-9.3273	0.3064	0.2456	0.1176	0.1040	0.1023
2.5903	-2.2306	-3.5951	-5.3228	-7.2682	0.2936	0.2248	0.2227	0.1422	0.1045
35.3154	27.0572	12.0252	-0.6336	-8.4875	0.3819	0.2474	0.1033	0.1010	0.1002
16.5432	0.8195	-2.2277	-5.8703	-9.5638	0.3482	0.3215	0.3146	0.1698	0.1426
28.9401	-6.4633	-9.4566	-9.7608	-9.8906	0.3135	0.2302	0.1366	0.1193	0.1169
15.9026	6.5183	-6.0239	-8.8507	-9.2010	0.3915	0.3834	0.2916	0.2287	0.1088
2.7395	-1.4921	-7.0694	-8.0208	-8.8082	0.2836	0.2706	0.2332	0.1009	0.1003
35.7996	11.1800	-0.2378	-6.8520	-8.5162	0.2502	0.2213	0.1934	0.1733	0.1026
-1.2063	-5.8363	-8.5797	-9.7277	-9.9339	0.3583	0.2242	0.1754	0.1557	0.1511
3.4531	-7.4619	-9.7687	-9.8420	-9.9327	0.3648	0.2474	0.1849	0.1464	0.1299
22.3809	10.5873	-5.6986	-8.9839	-9.3829	0.3519	0.3435	0.2727	0.1206	0.1093
19.1125	15.3261	-1.9444	-2.4291	-6.3700	0.3311	0.2347	0.1161	0.1104	0.1066
17.2358	4.8132	-2.2602	-8.3075	-9.8143	0.3471	0.3061	0.3048	0.1217	0.1014
24.8133	8.2911	5.7512	-3.8026	-5.4061	0.2641	0.2340	0.1650	0.1436	0.1227
7.3856	0.1896	-9.5470	-9.8900	-9.9244	0.2725	0.2190	0.1898	0.1397	0.1143
26.8170	15.1613	1.1290	-6.3179	-9.0048	0.3092	0.2769	0.1035	0.1015	0.1003
31.0861	26.4750	18.0535	12.6816	-1.4401	0.3145	0.2448	0.1574	0.1434	0.1094
29.5204	2.9455	-4.3215	-5.6341	-6.2367	0.3924	0.3291	0.2910	0.1319	0.1316
15.7212	5.1247	-6.9771	-7.7368	-8.2121	0.3826	0.2283	0.1522	0.1431	0.1137
16.7032	-7.0171	-7.9756	-9.6160	-9.9433	0.2635	0.2087	0.1538	0.1266	0.1015
32.5356	29.5415	13.0444	10.2564	-9.9894	0.3341	0.2934	0.2577	0.2560	0.2350
20.6283	6.1620	2.9513	-3.5490	-6.2929	0.3985	0.2952	0.1445	0.1401	0.1339
26.9320	-0.8876	-9.2393	-9.4972	-9.5521	0.3379	0.2919	0.2201	0.1877	0.1861
28.4515	25.6950	-9.3938	-9.4770	-9.5582	0.3372	0.2796	0.1217	0.1105	0.1022
17.6146	-9.1166	-9.6798	-9.8433	-9.9807	0.3445	0.2888	0.1094	0.1018	0.1004
-2.6743	-9.6875	-9.9119	-9.9388	-9.9672	0.2784	0.2498	0.1807	0.1403	0.1179
-3.8034	-4.7143	-8.5713	-9.1928	-9.6634	0.3236	0.3080	0.1434	0.1278	0.1057
37.3967	-4.9897	-9.1660	-9.5215	-9.5544	0.2623	0.2089	0.1676	0.1035	0.1026
26.8921	21.7434	21.2482	14.5473	-5.6403	0.2595	0.2556	0.2337	0.1686	0.1273
-3.3034	-3.7110	-8.1414	-9.1319	-9.9781	0.2546	0.2165	0.1388	0.1251	0.1212
17.9516	-0.2762	-9.4726	-9.6504	-9.6859	0.3781	0.2794	0.1318	0.1105	0.1012
39.4209	24.9365	0.0564	-5.3254	-6.1752	0.3310	0.3309	0.1957	0.1731	0.1073
-1.0942	-9.4950	-9.8304	-9.9646	-9.9761	0.3039	0.2542	0.1271	0.1245	0.1115
35.6066	24.0018	9.1043	1.4093	-8.4697	0.2656	0.2483	0.1273	0.1082	0.1017
34.7471	0.8506	-5.2071	-5.6998	-9.5985	0.2607	0.2033	0.1014	0.1003	0.1001
21.5535	-7.4485	-7.6906	-9.7479	-9.9148	0.2635	0.2493	0.1797	0.1658	0.1194
27.3157	-8.1922	-8.9090	-9.2039	-9.3779	0.2516	0.2344	0.1707	0.1500	0.1144
24.6266	3.7302	0.7119	-3.4886	-9.3175	0.3335	0.2082	0.1365	0.1271	0.1035
17.4770	14.4676	7.9676	-8.6904	-8.9545	0.3228	0.2981	0.1102	0.1009	0.1008
24.1858	14.7069	-7.0971	-9.0455	-9.2849	0.2698	0.2077	0.1690	0.1451	0.1263
27.0016	17.1946	13.5758	-1.3609	-4.0820	0.2852	0.2827	0.1158	0.1058	0.1035
29.4682	-1.8685	-3.7230	-7.5628	-9.4420	0.3051	0.2091	0.1224	0.1124	0.1079
14.2240	8.9415	-4.4299	-7.0430	-8.8015	0.2728	0.2073	0.1255	0.1023	0.1002
-4.3858	-8.3631	-8.4213	-8.9032	-9.5255	0.3677	0.3012	0.1870	0.1660	0.1432
-4.5122	-8.9713	-9.1792	-9.3689	-9.8277	0.3901	0.2506	0.1734	0.1291	0.1011
23.6647	5.2077	-9.0966	-9.3019	-9.9125	0.3144	0.2698	0.1536	0.1373	0.1049
-5.3824	-8.0462	-8.5876	-9.8463	-9.9806	0.2512	0.2335	0.1709	0.1448	0.1060
-5.0703	-9.1706	-9.7367	-9.9427	-9.9488	0.2713	0.2140	0.1361	0.1091	0.1064
17.7869	-4.1083	-4.6162	-6.9970	-9.5009	0.2777	0.2060	0.1749	0.1235	0.1146
